"","Country","City","Settlement","KYC_Year","KYC_Pop","gpw15","gpw20","ghs15","ghs20","hrsl15","hrsl20","wp_u15","wp_u20","wp_c20","wp_pb20","lsg15","lsg20","lshd20","grid16","grid19","area_m2","area_100m","area_km2","Id","gpw_combo","ghs_combo","hrsl_combo","wp_u_combo","wp_c_combo","wp_pb_combo","lsg_combo","lshd_combo","grid_combo","dens_kyc","dens_gpw","dens_ghs","dens_hrsl","dens_wp_u","dens_wp_c","dens_wp_pb","dens_lsg","dens_lshd","dens_grid"
"0","Nigeria","Lagos","Majidun",2019,2672,347.299102783203,393.768310546875,395.987426757812,407.956085205078,1022.42596435547,572.772705078125,722.931030273438,834.091857910156,1517.49975585938,1686.24743652344,1436.99572753906,1501.40112304688,1402.41259765625,1718.45324707031,1463.47277832031,155289.081930779,15.5289081930779,0.155289081930779,1,393.768310546875,407.956085205078,572.772705078125,834.091857910156,1517.49975585938,1686.24743652344,1501.40112304688,1402.41259765625,1463.47277832031,172.066185644079,25.3571149787852,26.2707513067098,36.8842869026325,53.7122022707274,97.7209561027484,108.587636397715,96.6842681004537,90.309800291136,94.2418333680834
"1","Nigeria","Lagos","Agbojedo",2018,161,122.939270019531,139.388748168945,100.176292419434,107.400253295898,371.270080566406,165.394897460938,52.9846611022949,58.9618339538574,237.063888549805,288.329559326172,90.0972671508789,99.9591445922852,467.229248046875,436.133666992188,272.048950195312,26625.1144692209,2.66251144692209,0.0266251144692209,2,139.388748168945,107.400253295898,165.394897460938,58.9618339538574,237.063888549805,288.329559326172,99.9591445922852,467.229248046875,272.048950195312,60.4692235919282,52.3523563927139,40.337949878133,62.1198822082576,22.1451945387947,89.0376974055285,108.292326652524,37.5431792820421,175.484409123199,102.177570169625
"2","Nigeria","Lagos","Ebute Oko",2018,224,378.914459228516,429.613861083984,46.8613166809082,50.750415802002,528.905029296875,475.547210693359,100.888938903809,113.452209472656,533.239318847656,256.620941162109,26.7387256622314,29.6501407623291,64.3682022094727,154.901580810547,179.150146484375,44746.4814479332,4.47464814479332,0.0447464814479332,3,429.613861083984,50.750415802002,475.547210693359,113.452209472656,533.239318847656,256.620941162109,29.6501407623291,64.3682022094727,179.150146484375,50.05980196692,96.0106464647686,11.3417668070851,106.275889255495,25.3544425844228,119.16899420754,57.3499709604457,6.62625078059598,14.385086855236,40.0367002471095
"3","Nigeria","Lagos","Araromi New Site",2018,272,241.557235717773,273.877990722656,103.72265625,111.274566650391,551.471069335938,369.127197265625,113.875465393066,126.132514953613,518.042663574219,351.658813476562,79.1710357666016,87.8428726196289,380.317169189453,324.040069580078,327.584594726562,60694.4174171407,6.06944174171407,0.0606944174171407,4,273.877990722656,111.274566650391,369.127197265625,126.132514953613,518.042663574219,351.658813476562,87.8428726196289,380.317169189453,327.584594726562,44.8146652649449,45.1240826384982,18.3335752093348,60.8173227413466,20.7815677818817,85.3526050038201,57.9392353434553,14.4729740160289,62.6609802637381,53.9727719067041
"4","Nigeria","Lagos","Isale Akoka",2018,608,309.253997802734,350.632720947266,83.7823944091797,100.233215332031,17.5869674682617,274.722747802734,57.8851509094238,66.6050720214844,123.190872192383,102.726249694824,395.849029541016,439.581634521484,40.7935218811035,12.9086408615112,115.920875549316,20066.6677600741,2.00666677600741,0.0200666677600741,5,350.632720947266,100.233215332031,274.722747802734,66.6050720214844,123.190872192383,102.726249694824,439.581634521484,40.7935218811035,115.920875549316,302.990016713046,174.733904572291,49.9501045866027,136.905016362178,33.1918945476368,61.3907967507644,51.1924804472094,219.060603273705,20.3289965074664,57.7678750330235
"5","Nigeria","Lagos","Igbayilola Tie Gate",2018,613,1461.10668945312,1656.60522460938,401.796875,435.206359863281,1214.15234375,1635.55798339844,422.283721923828,483.401275634766,2170.732421875,685.901245117188,869.630187988281,965.462280273438,1284.55114746094,1162.64282226562,625.403503417969,163399.942704521,16.3399942704521,0.163399942704521,6,1656.60522460938,435.206359863281,1635.55798339844,483.401275634766,2170.732421875,685.901245117188,965.462280273438,1284.55114746094,625.403503417969,37.5153130321776,101.383464228322,26.6344254875457,100.0953829192,29.5839317709498,132.847808019148,41.9768351055982,59.0858395843687,78.6139288790213,38.2744016348217
"6","Nigeria","Lagos","Chiku",2018,1877,591.847290039062,671.037414550781,488.599304199219,524.259765625,1674.78332519531,781.065246582031,234.065963745117,263.419189453125,1082.78674316406,1352.90173339844,426.300109863281,473.008514404297,2201.47436523438,1974.74890136719,1237.65112304688,118359.044511999,11.8359044511999,0.118359044511999,7,671.037414550781,524.259765625,781.065246582031,263.419189453125,1082.78674316406,1352.90173339844,473.008514404297,2201.47436523438,1237.65112304688,158.585261290252,56.6950685786206,44.29401806905,65.9911753936849,22.2559408568408,91.4832278030335,114.304888061282,39.963867261225,185.999673646502,104.567515575153
"7","Nigeria","Lagos","Ganvie Kodji",2018,2548,382.780548095703,433.997222900391,228.107421875,249.032333374023,599.450561523438,520.974670410156,13.2568378448486,13.4387664794922,52.3895721435547,528.078796386719,90.7863464355469,102.295532226562,150.731185913086,85.1032943725586,719.579345703125,37589.5689226631,3.75895689226631,0.0375895689226631,8,433.997222900391,249.032333374023,520.974670410156,13.4387664794922,52.3895721435547,528.078796386719,102.295532226562,150.731185913086,719.579345703125,677.847624494514,115.456823618621,66.2503828885038,138.595542684198,3.57513184233135,13.9372633539217,140.485462196491,27.2138082873538,40.0992057725378,191.43059266883
"8","Nigeria","Lagos","Igboeseiyore",2018,6031,2248.4150390625,2549.25659179688,1430.53869628906,1542.60681152344,5101.81591796875,3417.10571289062,1370.8076171875,1497.64477539062,6440.94921875,2445.09912109375,802.354797363281,890.358459472656,1948.14953613281,2537.62255859375,3119.90063476562,665366.169324944,66.5366169324944,0.665366169324944,9,2549.25659179688,1542.60681152344,3417.10571289062,1497.64477539062,6440.94921875,2445.09912109375,890.358459472656,1948.14953613281,3119.90063476562,90.641819167314,38.3135889578404,23.1843289100272,51.3567697070847,22.5085801538434,96.8030764967319,36.7481731686848,13.3814807623294,29.2793596360532,46.8899799629272
"9","Nigeria","Lagos","Bayeku Itunmegba 36",2016,1269,1524.74536132812,1728.75891113281,1352.38806152344,1451.16003417969,3550.337890625,2704.431640625,511.841674804688,621.24951171875,2115.91674804688,2025.35217285156,2243.572265625,2344.11352539062,3246.81665039062,2552.0087890625,1641.91650390625,198646.445002064,19.8646445002064,0.198646445002064,10,1524.74536132812,1352.38806152344,3550.337890625,511.841674804688,2115.91674804688,2025.35217285156,2243.572265625,3246.81665039062,2552.0087890625,63.8823413118123,76.7567404144726,68.0801542413399,178.726475099421,25.766465380207,106.516718586375,101.957634974566,112.942985997141,163.4470050726,128.469894794039
